,code,name,description,weight
141,40184,Имбирь сахарный,,0.0
142,40217,Финики,,0.0
143,41137,0001 Мини - Брелок поп ит антистресс. Игрушка антистресс в ассортименте,,0.0
144,41163,0001 Мини брелок Хаги-Ваги в ассортименте,,0.0
145,41157,0001 Мандарин. Игрушка сжимаемая антистресс,,0.0
146,41145,Осьминожки брелок,,0.0
147,41155,3d пазлы. В ассортименте,,0.0
148,41138,Мини - Симпл Димпл брелок. Игрушка антистресс,,0.0
149,41172,0001 Лазерная указка,,0.0
150,41139,0001 Спиннер с бегущей анимацией,,0.0
151,41131,Поп ит. Игрушка антистресс,,0.0
152,41132,0002 Брелок Поп ит. Игрушка антистресс в ассортименте,,0.0
153,41149,Наушники Airpods pro,,0.0
154,41158,Яйцо динозавра. Игрушка сжимаемая антистресс,,0.0
155,41133,Симпл Димпл брелок. Игрушка антистресс,,0.0
156,41164,Игрушка пазлы деревянные,,0.0
157,41162,0001 Брелок Хаги-ваги в ассортименте,,0.0
158,41147,Снапперсы 4 вида,,0.0
159,41156,Йети. игрушка сжимаемая антистресс,,0.0
160,41159,0002 Неваляшка. Игра в кальмара (4 вида),,0.0
161,41144,Сквиш зверята,,0.0
162,41148,Сквиш ананасики,,0.0
163,41135,Снаппер. Игрушка антистресс в ассортименте,,0.0
164,41136,Браслет поп ит. Игрушка антистресс в ассортименте,,0.0
165,41146,0001 Игрушка суслик разноцветные. Игрушка-сжималка,,0.0
166,41165,0001 Горошинка. Игрушка-сжималка,,0.0
167,41166,0001 Черепашка. Игрушка-сжималка,,0.0
168,41167,0001 Печенька. Игрушка-сжималка,,0.0
169,41168,0001 Банан. Игрушка-сжималка,,0.0
170,41169,0001 Цыпленок. Игрушка-сжималка,,0.0
171,41170,0001 Свинка. Игрушка-сжималка,,0.0
172,41171,0001 Дуриан. Игрушка-сжималка,,0.0
173,7,Бухгалтерское сопровождение,,
174,102,Кредит,,0.0
175,94,Бумага Снегурочка,,0.0
176,101,Пакет,,0.0
177,131,Перчатки одноразовые,,0.0
178,78,Лицензия мой склад,,
179,41160,Подарок,,0.0
180,36,Обслуживание банка,,0.0
181,47,Налоги,,0.0
182,46,Зарплата,,
183,113,Стакан с купольной крышкой 350 мл,,0.0
184,164,"Пакеты-майка ""Спасибо за покупку""",,0.0
185,109,Пленка БОПП 40мкм 220мм,,0.0
186,120,Наклейки на стаканы,,0.0
187,119,Креманка 200мл,,0.0
188,168,Скотч,,0.0
189,108,Канцелярия,,0.0
190,104,Аренда,,0.0
191,29,Этикетка,,0.0
